date,maxtemp,mintemp,weather_rain,weather_snow,weather_sun
20000908,21.5,15.4,0.0,,9.4
20000909,23.7,16.7,0.0,,10.3
20000910,26.1,17.8,0.0,,10.5
20000911,26.5,19.3,0.0,,8.5
20000912,27.1,20.9,0.0,,8.9
20000913,27.4,21.1,0.0,,6.6
20000914,25.5,21.5,0.0,,5.5
20000915,24.7,19.4,0.0,,10.3
20000916,19.9,15.8,0.63,,1.1
20000917,19.5,15.8,0.0,,5.3
20000918,20.2,16.3,0.0,,8.3
20000919,19.4,14.8,0.11,,4.6
20000920,19.1,15.2,0.0,,1.8
20000921,18.4,16.2,0.13,,1.4
20000922,16.8,14.4,0.0,,2.2
20000923,14.4,12.4,0.17,,0.0
20000924,15.6,12.8,0.0,,1.5
20000925,15.3,13.6,0.0,,0.0
20000926,19.8,14.1,0.0,,7.1
20000927,20.8,14.3,0.0,,9.7
20000928,20.1,14.3,0.0,,5.9
20000929,21.1,15.0,0.0,,9.7
20000930,22.4,16.6,0.0,,8.6
20001001,23.1,18.4,0.23,,3.2
20001002,21.6,17.7,0.65,,1.1
20001003,22.8,18.3,0.0,,3.6
20001004,24.9,18.9,0.0,,6.9
20001005,23.9,17.5,0.0,,9.5
20001006,19.6,15.9,0.38,,2.0
20001007,19.3,14.8,0.02,,2.3
20001008,16.5,13.4,0.0,,7.6
20001009,13.7,11.9,0.02,,0.0
20001010,13.0,11.9,0.0,,1.0
20001011,20.4,14.8,0.0,,4.7
20001012,24.2,18.2,0.0,,4.7
20001013,25.9,18.0,0.0,,8.8
20001014,24.2,17.2,0.0,,6.6
20001015,23.1,16.4,0.0,,7.9
20001016,18.6,14.9,0.0,,1.1
20001017,21.2,16.8,0.0,,4.2
20001018,21.0,16.0,0.0,,6.8
20001019,16.7,13.9,0.0,,0.0
20001020,15.1,12.1,0.0,,3.2
20001021,14.4,9.5,0.0,,9.0
20001022,15.0,8.4,0.0,,8.9
20001023,15.6,8.4,0.0,,8.4
20001024,16.3,9.6,0.0,,8.3
20001025,19.2,13.9,0.0,,5.0
20001026,18.1,12.8,0.0,,7.9
20001027,14.5,11.2,0.03,,4.3
20001028,14.6,10.6,0.0,,0.6
20001029,15.0,10.4,0.0,,8.5
20001030,17.8,11.6,0.0,,6.0
20001031,22.5,17.1,0.02,,5.6
20001101,19.6,11.8,0.45,,0.0
20001102,9.2,7.4,0.0,,0.7
20001103,12.1,10.3,0.13,,0.7
20001104,13.9,11.6,1.98,,0.2
20001105,12.4,8.2,0.0,,2.8
20001106,15.5,9.2,0.07,,5.1
20001107,12.6,11.4,0.99,,0.0
20001108,15.0,11.2,0.02,,5.5
20001109,14.1,10.0,0.55,,6.5
20001110,9.2,7.3,0.18,,0.2
20001111,12.3,7.5,0.0,,7.6
20001112,6.9,4.8,0.0,,0.2
20001113,13.6,7.9,0.0,,6.0
20001114,19.3,13.9,0.0,,2.7
20001115,17.9,14.6,0.05,,1.3
20001116,12.9,10.7,0.01,,0.0
20001117,13.8,10.6,0.05,,0.4
20001118,12.1,8.7,0.07,,0.0
20001119,9.5,8.0,0.0,,0.0
20001120,11.4,9.2,0.0,,1.6
20001121,13.5,10.7,0.0,,1.0
20001122,13.5,8.9,0.0,,6.1
20001123,12.2,8.8,0.0,,3.4
20001124,10.1,7.0,0.0,,0.1
20001125,11.6,9.2,0.42,,1.3
20001126,10.0,7.9,0.89,,0.6
20001127,9.3,7.2,0.0,,0.0
20001128,10.4,6.1,0.0,,6.3
20001129,9.8,5.8,0.0,,3.5
20001130,6.8,3.4,0.0,,2.1
20001201,7.6,3.5,0.0,,0.5
20001202,4.3,2.6,0.0,,0.0
20001203,4.1,2.9,0.0,,0.0
20001204,7.2,5.5,0.0,,0.0
20001205,6.6,5.3,0.0,,0.0
20001206,5.5,2.9,0.0,,0.0
20001207,2.4,0.9,0.0,,0.0
20001208,3.3,2.3,0.0,,0.0
20001209,7.7,5.1,0.21,,1.0
20001210,7.2,5.5,0.11,,0.1
20001211,12.2,8.6,0.0,,4.8
20001212,11.1,7.1,0.0,,0.3
20001213,11.6,8.6,0.0,,0.0
20001214,13.7,9.3,0.0,,2.8
20001215,9.0,6.7,0.46,,0.3
20001216,8.4,5.7,0.0,,6.9
20001217,7.2,4.6,0.0,,3.4
20001218,6.0,2.8,0.0,,5.7
20001219,3.5,1.2,0.1,,0.0
20001220,2.9,-1.5,0.0,,3.2
20001221,0.0,-1.5,0.0,,0.0
20001222,0.1,-2.7,0.0,,5.7
20001223,-1.5,-4.8,0.0,,1.0
20001224,-3.6,-6.6,0.0,,0.0
20001225,0.6,-2.0,0.3,,0.0
20001226,3.6,2.6,1.14,,0.0
20001227,6.1,4.4,0.35,,0.0
20001228,8.4,6.2,0.0,,0.0
20001229,6.2,4.6,1.46,,0.3
20001230,4.4,2.5,0.55,,0.0
20001231,3.7,1.3,0.0,,3.2
20010101,2.6,-1.4,0.0,,6.9
20010102,1.1,-1.1,0.09,,0.0
20010103,3.1,1.7,0.24,,0.0
20010104,3.2,1.0,0.0,,0.3
20010105,3.3,1.9,0.0,,0.0
20010106,7.5,5.0,0.0,,0.0
20010107,9.5,6.2,0.86,,0.0
20010108,8.4,7.4,0.15,,0.0
20010109,7.0,3.6,0.53,,0.0
20010110,4.9,1.5,0.0,,0.0
20010111,4.9,1.3,0.0,,0.2
